dish,prompt,generation
2 vegetarian dips  served w crudites   baguette bread,Generate a diabetes-friendly 2 vegetarian dips  served w crudites   baguette bread recipe.,"Ingredients: baguette bread, olive oil, onion, garlic cloves, fresh parsley, fresh parsley, salt, pepper"
tofu with rice and black eyed peas,Generate a diabetes-friendly tofu with rice and black eyed peas recipe.,"Ingredients: tofu, rice, black eyed peas, olive oil"
scacchi  mediterranean passover  lasagna,Generate a diabetes-friendly scacchi  mediterranean passover  lasagna recipe.,"Ingredients: scacchi, olive oil, garlic cloves, paprika, kosher salt, fresh ground black pepper"
carrot  red lentil and orange soup,Generate a diabetes-friendly carrot  red lentil and orange soup recipe.,"Ingredients: carrots, red lentils, olive oil, onion, garlic cloves, red wine vinegar, orange juice"
beet greens with bacon and onion,Generate a diabetes-friendly beet greens with bacon and onion recipe.,"Ingredients: beet greens, bacon, onion, garlic cloves, olive oil, salt and pepper"
onion garlic dip,Generate a diabetes-friendly onion garlic dip recipe.,"Ingredients: onion, garlic cloves, olive oil, garlic cloves, salt, pepper"
perfect pesto,Generate a diabetes-friendly perfect pesto recipe.,"Ingredients: pesto sauce, olive oil, garlic cloves, fresh basil, salt, fresh ground black pepper, fresh basil leaves"
marinated grilled tuna steak,Generate a diabetes-friendly marinated grilled tuna steak recipe.,"Ingredients: tuna steaks, olive oil, onion, garlic cloves, salt, pepper"
avocado  cheddar  and sprouts pockets with tangy lime mayo,Generate a diabetes-friendly avocado  cheddar  and sprouts pockets with tangy lime mayo recipe.,"Ingredients: avocado, cheddar cheese, lime juice, mayonnaise, mayonnaise, mayonnaise, mayonnaise"
zucchini gratin,Generate a diabetes-friendly zucchini gratin recipe.,"Ingredients: zucchini, olive oil, onion, garlic cloves, salt, pepper"
chunky ham pot pie,Generate a diabetes-friendly chunky ham pot pie recipe.,"Ingredients: ham, olive oil, onion, garlic cloves, salt, fresh ground black pepper, sour cream, sour cream"
five cheese stuffed chicken breasts,Generate a diabetes-friendly five cheese stuffed chicken breasts recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, garlic cloves, salt, pepper"
low carb tuna casserole,Generate a diabetes-friendly low carb tuna casserole recipe.,"Ingredients: tuna, olive oil, onion, garlic cloves, salt, fresh ground black pepper, salt and pepper"
best ever restaurant salsa,Generate a diabetes-friendly best ever restaurant salsa recipe.,"Ingredients: olive oil, onion, garlic cloves, red bell pepper, red bell pepper, red bell pepper, red bell pepper, red bell pepper"
italian chicken cheese rollups  light,Generate a diabetes-friendly italian chicken cheese rollups  light recipe.,"Ingredients: boneless skinless chicken breast halves, olive oil, onion, garlic cloves, salt, pepper"
lemon and herbs marinade,Generate a diabetes-friendly lemon and herbs marinade recipe.,"Ingredients: olive oil, lemon juice, garlic cloves, fresh rosemary, lemon juice, salt, fresh ground black pepper"
cauliflower cheddar fritters,Generate a diabetes-friendly cauliflower cheddar fritters recipe.,"Ingredients: cauliflower, cheddar cheese, olive oil, garlic cloves, fresh parsley, salt, fresh ground black pepper"
moroccan chicken with pistachio couscous,Generate a diabetes-friendly moroccan chicken with pistachio couscous recipe.,"Ingredients: boneless skinless chicken breast halves, couscous, olive oil, garlic cloves, pistachios, kosher salt, fresh ground black pepper"
quinoa pudding by dr  andrew weil,Generate a diabetes-friendly quinoa pudding by dr  andrew weil recipe.,"Ingredients: quinoa, milk, cream of celery soup, cream of celery soup, cream of celery soup, cream of celery soup, cream of celery soup, cream of celery soup"
moroccan salmon,Generate a diabetes-friendly moroccan salmon recipe.,"Ingredients: salmon fillets, olive oil, garlic cloves, salt, fresh ground black pepper"
sneaky tuna filling,Generate a diabetes-friendly sneaky tuna filling recipe.,"Ingredients: tuna fillets, olive oil, onion, garlic cloves, salt, fresh ground black pepper"
andalusian rice salad  ensalada de arroz,Generate a diabetes-friendly andalusian rice salad  ensalada de arroz recipe.,"Ingredients: olive oil, onion, garlic cloves, red bell pepper, red bell pepper, red bell pepper, red bell pepper, red bell pepper, red bell pepper"
pappadeaux crawfish bisque,Generate a diabetes-friendly pappadeaux crawfish bisque recipe.,"Ingredients: crawfish fillets, olive oil, onion, garlic cloves, paprika, salt, fresh ground black pepper"
marinated greek village salad,Generate a diabetes-friendly marinated greek village salad recipe.,"Ingredients: olive oil, onion, garlic cloves, fresh parsley, fresh parsley, fresh parsley, salt, fresh ground black pepper"
easy spinach squares,Generate a diabetes-friendly easy spinach squares recipe.,"Ingredients: frozen spinach, olive oil, onion, garlic cloves, fresh parsley, salt, fresh ground black pepper"
smoked salmon pate with parsley butter,Generate a diabetes-friendly smoked salmon pate with parsley butter recipe.,"Ingredients: smoked salmon fillets, parsley, butter, olive oil, salt, fresh ground black pepper"
tuna spring rolls with lime soy sauce,Generate a diabetes-friendly tuna spring rolls with lime soy sauce recipe.,"Ingredients: tuna, lime juice, soy sauce, garlic cloves, salt, fresh ground black pepper, soy sauce"
tinola,Generate a diabetes-friendly tinola recipe.,"Ingredients: tinola, olive oil, onion, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano"
gluten free smoky ginger quiche bites,Generate a diabetes-friendly gluten free smoky ginger quiche bites recipe.,"Ingredients: extra virgin olive oil, onion, garlic cloves, gingerroot, sour cream, sour cream, salt and pepper"
rich basil cream sauce,Generate a diabetes-friendly rich basil cream sauce recipe.,"Ingredients: olive oil, onion, garlic cloves, fresh basil leaves, salt, fresh ground black pepper, cream of celery soup, cream of celery soup"
souffled smoked salmon and tarragon omelette,Generate a diabetes-friendly souffled smoked salmon and tarragon omelette recipe.,"Ingredients: smoked salmon, tarragon, olive oil, salt, fresh ground black pepper"
south pacific island chicken  from a crock pot,Generate a diabetes-friendly south pacific island chicken  from a crock pot recipe.,"Ingredients: boneless skinless chicken breast halves, olive oil, onion, garlic cloves, salt, fresh ground black pepper, boneless skinless chicken breast halves"
ravioli with asparagus  mint   mascarpone,Generate a diabetes-friendly ravioli with asparagus  mint   mascarpone recipe.,"Ingredients: asparagus, mint, mascarpone cheese, olive oil, garlic cloves, salt, fresh ground black pepper"
7 day coleslaw  lite eating,Generate a diabetes-friendly 7 day coleslaw  lite eating recipe.,"Ingredients: coleslaw, olive oil, onion, garlic cloves, celery ribs, celery ribs, celery ribs, celery"
inspired vegetable stew,Generate a diabetes-friendly inspired vegetable stew recipe.,"Ingredients: olive oil, onion, garlic cloves, celery ribs, carrots, celery ribs, carrots, celery ribs"
spicy hot crackers,Generate a diabetes-friendly spicy hot crackers recipe.,"Ingredients: olive oil, onion, garlic cloves, chili powder, cumin, ground coriander, ground cumin, ground coriander"
creamed swiss chard with mushroom and feta,Generate a diabetes-friendly creamed swiss chard with mushroom and feta recipe.,"Ingredients: swiss chard, olive oil, onion, garlic cloves, feta cheese, swiss cheese, feta cheese"
spanish chickpea soup,Generate a diabetes-friendly spanish chickpea soup recipe.,"Ingredients: chickpeas, olive oil, onion, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano"
mushroom barley soup  ww,Generate a diabetes-friendly mushroom barley soup  ww recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, onion, garlic cloves, celery ribs, carrots, celery ribs, celery ribs"
lemon chicken burgers with yogurt dressing,Generate a diabetes-friendly lemon chicken burgers with yogurt dressing recipe.,"Ingredients: boneless skinless chicken breast halves, lemon juice, olive oil, lemon juice, salt, fresh ground black pepper"
barbie s tuna sandwich,Generate a diabetes-friendly barbie s tuna sandwich recipe.,"Ingredients: tuna fillets, olive oil, onion, garlic cloves, fresh parsley, fresh parsley, salt and pepper"
spicy smoky soulful lentil soup,Generate a diabetes-friendly spicy smoky soulful lentil soup recipe.,"Ingredients: lentils, olive oil, onion, garlic cloves, garlic cloves, salt, pepper"
horseradish encrusted salmon,Generate a diabetes-friendly horseradish encrusted salmon recipe.,"Ingredients: salmon fillets, horseradish, olive oil, salt, fresh ground black pepper"
mexican style pork   rice soup,Generate a diabetes-friendly mexican style pork   rice soup recipe.,"Ingredients: pork loin, olive oil, onion, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano"
ropa vieja   tasty cuban dish,Generate a diabetes-friendly ropa vieja   tasty cuban dish recipe.,"Ingredients: ropa vieja, olive oil, onion, garlic cloves, paprika, cumin, ground coriander, ground cumin"
pot roast carne asada style,Generate a diabetes-friendly pot roast carne asada style recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, onion, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano"
warm salmon salad a la provencal,Generate a diabetes-friendly warm salmon salad a la provencal recipe.,"Ingredients: salmon fillets, olive oil, garlic cloves, salt, fresh ground black pepper, fresh parsley, fresh parsley, fresh parsley"
onion cups,Generate a diabetes-friendly onion cups recipe.,"Ingredients: olive oil, onion, garlic cloves, salt, fresh ground black pepper, salt, fresh ground black pepper"
easy hummus,Generate a diabetes-friendly easy hummus recipe.,"Ingredients: hummus, olive oil, onion, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano"
stuffed grape leaves  dolmades,Generate a diabetes-friendly stuffed grape leaves  dolmades recipe.,"Ingredients: grape leaves, olive oil, garlic cloves, salt, fresh ground black pepper"
shrimp with chipotle sauce,Generate a diabetes-friendly shrimp with chipotle sauce recipe.,"Ingredients: shrimp, olive oil, onion, garlic cloves, chipotle chile, chipotle chile, salt & freshly ground black pepper"
chive risotto cakes    ina garten barefoot contessa,Generate a diabetes-friendly chive risotto cakes    ina garten barefoot contessa recipe.,"Ingredients: risotto, olive oil, garlic cloves, chives, salt, fresh ground black pepper, kosher salt, fresh ground black pepper"
cantaloupe spinach salad,Generate a diabetes-friendly cantaloupe spinach salad recipe.,"Ingredients: cantaloupe fillets, olive oil, salt, fresh ground black pepper, fresh spinach, cantaloupe fillets, fresh parsley"
barley casserole,Generate a diabetes-friendly barley casserole recipe.,"Ingredients: boneless skinless chicken breast halves, onion, celery, carrot, celery, carrot, celery ribs"
mascarpone stuffed chicken,Generate a diabetes-friendly mascarpone stuffed chicken recipe.,"Ingredients: boneless skinless chicken breast halves, mascarpone cheese, olive oil, garlic cloves, kosher salt, fresh ground black pepper, boneless skinless chicken breast halves"
mom s best ever turkey meatloaf,Generate a diabetes-friendly mom s best ever turkey meatloaf recipe.,"Ingredients: boneless skinless turkey breast halves, olive oil, onion, garlic cloves, fresh parsley, fresh parsley, salt and pepper"
deluxe fried eggs,Generate a diabetes-friendly deluxe fried eggs recipe.,"Ingredients: eggs, olive oil, onion, garlic cloves, salt, fresh ground black pepper, salt and pepper"
pan seared scallops with cauliflower and balsamic syrup,Generate a diabetes-friendly pan seared scallops with cauliflower and balsamic syrup recipe.,"Ingredients: scallops, balsamic vinegar, olive oil, garlic cloves, balsamic vinegar, salt, fresh ground black pepper, balsamic vinegar"
parmesan white bean dip,Generate a diabetes-friendly parmesan white bean dip recipe.,"Ingredients: white beans, olive oil, parmesan cheese, parmesan cheese, parmesan cheese, parmesan cheese"
mango pineapple chicken with mandarin rice salad,Generate a diabetes-friendly mango pineapple chicken with mandarin rice salad recipe.,"Ingredients: boneless skinless chicken breast halves, mangoes, pineapple, mango juice, mandarin oranges, pineapple juice, salt, fresh ground black pepper"
grilled turkey burgers with couscous,Generate a diabetes-friendly grilled turkey burgers with couscous recipe.,"Ingredients: couscous, turkey burgers, olive oil, garlic cloves, salt, fresh ground black pepper, fresh thyme, fresh parsley"
shrimp linguine,Generate a diabetes-friendly shrimp linguine recipe.,"Ingredients: shrimp, linguine, olive oil, garlic cloves, salt, fresh ground black pepper"
roasted red onion panzanella,Generate a diabetes-friendly roasted red onion panzanella recipe.,"Ingredients: red onion, olive oil, garlic cloves, salt, fresh ground black pepper"
balsamic marinated tomato and mozzarella salad,Generate a diabetes-friendly balsamic marinated tomato and mozzarella salad recipe.,"Ingredients: tomatoes, olive oil, balsamic vinegar, balsamic vinegar, balsamic vinegar, balsamic vinegar, balsamic vinegar"
parsnips with sage butter,Generate a diabetes-friendly parsnips with sage butter recipe.,"Ingredients: parsnips, olive oil, butter, sage leaves, garlic cloves, salt, fresh ground black pepper"
best spinach recipe,Generate a diabetes-friendly best spinach recipe recipe.,"Ingredients: spinach, olive oil, onion, garlic cloves, fresh parsley, salt, pepper"
easy chicago style spinach pizza,Generate a diabetes-friendly easy chicago style spinach pizza recipe.,"Ingredients: fresh spinach, olive oil, garlic cloves, fresh parsley, fresh parsley, fresh parsley, salt, pepper"
garlic spiked broccoli and mushrooms with rosemary,Generate a diabetes-friendly garlic spiked broccoli and mushrooms with rosemary recipe.,"Ingredients: broccoli florets, olive oil, garlic cloves, fresh rosemary, salt, fresh ground black pepper, fresh basil"
rich barley mushroom soup,Generate a diabetes-friendly rich barley mushroom soup recipe.,"Ingredients: boneless skinless chicken breast halves, olive oil, onion, celery, carrot, celery ribs, celery ribs, celery ribs"
crock pot chicken vindaloo,Generate a diabetes-friendly crock pot chicken vindaloo recipe.,"Ingredients: boneless skinless chicken breast halves, olive oil, onion, garlic cloves, garlic cloves, salt, pepper"
penne with salmon and roasted vegetables,Generate a diabetes-friendly penne with salmon and roasted vegetables recipe.,"Ingredients: penne, salmon fillets, olive oil, garlic cloves, salmon fillets, salt, fresh ground black pepper"
lentil mushroom walnut loaf,Generate a diabetes-friendly lentil mushroom walnut loaf recipe.,"Ingredients: olive oil, onion, garlic cloves, dried oregano, dried oregano, dried oregano, dried oregano, dried oregano"
parmigiano regianno with fruit and aged balsamic,Generate a diabetes-friendly parmigiano regianno with fruit and aged balsamic recipe.,"Ingredients: olive oil, balsamic vinegar, salt, fresh ground black pepper, red onion, red bell pepper, red bell pepper, red pepper flakes"
