dish,prompt,generation
banana pudding,Generate a diabetes-friendly banana pudding recipe.,"Ingredients: bananas, milk, sugar, vanilla extract, vanilla extract, egg, vanilla extract, vanilla extract"
strawberry shortcake,Generate a diabetes-friendly strawberry shortcake recipe.,"Ingredients: flour, baking powder, baking soda, salt, sugar, eggs, milk, vanilla extract"
donuts,Generate a diabetes-friendly donuts recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, vanilla extract, donut shells"
zucchini noodles with pesto,Generate a diabetes-friendly zucchini noodles with pesto recipe.,"Ingredients: zucchini, olive oil, garlic cloves, garlic cloves, olive oil, garlic cloves, salt, pepper"
cauliflower rice stir fry,Generate a diabetes-friendly cauliflower rice stir fry recipe.,"Ingredients: cauliflower, vegetable oil, onion, garlic cloves, scallions, garlic cloves, salt, fresh ground black pepper"
almond flour muffins,Generate a diabetes-friendly almond flour muffins recipe.,"Ingredients: all-purpose flour, baking powder, salt, baking soda, baking soda, baking soda, eggs, milk"
coconut flour pancakes,Generate a diabetes-friendly coconut flour pancakes recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract"
chia seed pudding,Generate a diabetes-friendly chia seed pudding recipe.,"Ingredients: chia seeds, sugar, eggs, milk, vanilla extract, vanilla extract, salt"
grilled salmon with broccoli,Generate a diabetes-friendly grilled salmon with broccoli recipe.,"Ingredients: salmon fillets, olive oil, onion, garlic cloves, fresh basil, fresh parsley, salt and pepper"
baked tofu bowl,Generate a diabetes-friendly baked tofu bowl recipe.,"Ingredients: tofu, onion, garlic cloves, garlic cloves, salt, fresh ground black pepper"
quinoa salad,Generate a diabetes-friendly quinoa salad recipe.,"Ingredients: quinoa, olive oil, onion, garlic cloves, scallions, red pepper flakes, salt, pepper"
egg white omelette,Generate a diabetes-friendly egg white omelette recipe.,"Ingredients: egg whites, salt, pepper, egg yolks, milk, egg yolks, egg whites"
low carb cheesecake,Generate a diabetes-friendly low carb cheesecake recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract"
protein smoothie,Generate a diabetes-friendly protein smoothie recipe.,"Ingredients: oats, almond milk, oats, coconut milk, oats, almond extract, sugar, vanilla extract"
mango juice,Generate a diabetes-friendly mango juice recipe.,"Ingredients: mangoes, sugar, water, lemon juice"
iced coffee with cream,Generate a diabetes-friendly iced coffee with cream recipe.,"Ingredients: iced coffee, milk, sugar, vanilla extract, whipped cream"
bubble tea,Generate a diabetes-friendly bubble tea recipe.,"Ingredients: bubble tea, water, sugar, ice cubes"
matcha latte,Generate a diabetes-friendly matcha latte recipe.,"Ingredients: matcha latte, milk, sugar, vanilla, ice cubes"
hot chocolate,Generate a diabetes-friendly hot chocolate recipe.,"Ingredients: milk, sugar, cocoa powder, cocoa powder, cocoa powder, cocoa powder, cocoa powder, cocoa powder"
fruit punch,Generate a diabetes-friendly fruit punch recipe.,"Ingredients: orange juice, orange juice concentrate, orange juice concentrate, orange juice concentrate, orange juice concentrate, orange juice concentrate, lemon juice concentrate"
chai latte,Generate a diabetes-friendly chai latte recipe.,"Ingredients: chai latte, ice cubes"
milk tea,Generate a diabetes-friendly milk tea recipe.,"Ingredients: milk, sugar, vanilla, ice cubes"
apple cider,Generate a diabetes-friendly apple cider recipe.,"Ingredients: apple cider, apple cider vinegar"
lentil soup,Generate a diabetes-friendly lentil soup recipe.,"Ingredients: lentils, onion, garlic cloves, scallions, carrots, celery, carrots, carrots"
beef stew,Generate a diabetes-friendly beef stew recipe.,"Ingredients: boneless beef, onion, garlic cloves, scallions, celery, carrots, celery ribs, salt and pepper"
vegetable stir fry,Generate a diabetes-friendly vegetable stir fry recipe.,"Ingredients: vegetable oil, onion, garlic cloves, garlic cloves, onion powder, salt, fresh ground black pepper"
shrimp tacos,Generate a diabetes-friendly shrimp tacos recipe.,"Ingredients: shrimp, sour cream, sour cream, sour cream, sour cream, sour cream, salt, pepper"
turkey chili,Generate a diabetes-friendly turkey chili recipe.,"Ingredients: boneless skinless turkey breasts, onion, garlic cloves, chili powder, chili powder, salt, pepper"
baked sweet potato,Generate a diabetes-friendly baked sweet potato recipe.,"Ingredients: sweet potatoes, butter, flour, baking powder, salt, paprika, baking soda"
tuna salad,Generate a diabetes-friendly tuna salad recipe.,"Ingredients: tuna fillets, olive oil, onion, garlic cloves, salt and pepper, fresh parsley, fresh parsley, fresh parsley"
greek salad,Generate a diabetes-friendly greek salad recipe.,"Ingredients: olive oil, onion, garlic cloves, scallions, feta cheese, parmesan cheese, parmesan cheese"
roasted brussels sprouts,Generate a diabetes-friendly roasted brussels sprouts recipe.,"Ingredients: brussels sprouts, olive oil, onion, garlic cloves, salt, pepper"
