dish,prompt,generation,has_forbidden,has_required,compliant
classic one dish chicken stuffing bake with vegetables,Generate a diabetes-friendly classic one dish chicken stuffing bake with vegetables recipe.,"Ingredients: boneless skinless chicken breasts, butter, onion, garlic cloves, salt and pepper, fresh parsley, garlic cloves, fresh parsley",0,1,1
fruity bulgur wheat,Generate a diabetes-friendly fruity bulgur wheat recipe.,"Ingredients: bulgur wheat, water, sugar, salt, nutmeg, cinnamon, nutmeg, nutmeg",1,0,0
marinade for steak,Generate a diabetes-friendly marinade for steak recipe.,"Ingredients: boneless steaks, olive oil, garlic cloves, onion, garlic cloves, salt, pepper, paprika",0,1,1
yummy green beans,Generate a diabetes-friendly yummy green beans recipe.,"Ingredients: green beans, olive oil, onion, garlic cloves, garlic cloves, paprika, salt, pepper",0,1,1
tarragon mayonnaise dip,Generate a diabetes-friendly tarragon mayonnaise dip recipe.,"Ingredients: tarragon, mayonnaise, mayonnaise",0,0,0
rachael ray s green beans,Generate a diabetes-friendly rachael ray s green beans recipe.,"Ingredients: green beans, olive oil, onion, garlic cloves, garlic cloves, salt, pepper",0,1,1
coriander pork tenderloin with carrot ginger sauce,Generate a diabetes-friendly coriander pork tenderloin with carrot ginger sauce recipe.,"Ingredients: pork tenderloin, carrots, ginger, garlic cloves, coriander leaves, garlic cloves",0,0,0
black friday turkey and stuffing panini,Generate a diabetes-friendly black friday turkey and stuffing panini recipe.,"Ingredients: boneless skinless turkey breasts, onion, garlic cloves, salt and pepper, fresh ground black pepper, fresh ground black pepper, fresh ground black pepper, fresh ground black pepper",0,1,1
grilled shrimp with garlic and breadcrumbs,Generate a diabetes-friendly grilled shrimp with garlic and breadcrumbs recipe.,"Ingredients: shrimp, olive oil, garlic cloves, breadcrumbs, garlic cloves, salt and pepper",0,1,1
slow cooker tuscan pot roast,Generate a diabetes-friendly slow cooker tuscan pot roast recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, onion, garlic cloves, garlic cloves, tuscan seasoning, olive oil, salt and pepper",0,1,1
quick   dirty hamburger spinach calzones,Generate a diabetes-friendly quick   dirty hamburger spinach calzones recipe.,"Ingredients: calzones, onion, garlic cloves, fresh spinach, salt, pepper, fresh ground black pepper, fresh ground black pepper",0,1,1
chile con queso cheeseburger,Generate a diabetes-friendly chile con queso cheeseburger recipe.,"Ingredients: queso cheeseburgers, chile peppers, onion, garlic cloves, chile peppers, sour cream, salt and pepper",0,0,0
chicken risotto,Generate a diabetes-friendly chicken risotto recipe.,"Ingredients: boneless skinless chicken breasts, risotto, olive oil, garlic cloves, onion, garlic cloves, salt, pepper",0,1,1
grandma g s collard greens,Generate a diabetes-friendly grandma g s collard greens recipe.,"Ingredients: collard greens, olive oil, onion, garlic cloves, salt, pepper, fresh ground black pepper",0,1,1
2 vegetarian dips  served w crudites   baguette bread,Generate a diabetes-friendly 2 vegetarian dips  served w crudites   baguette bread recipe.,"Ingredients: olive oil, onion, garlic cloves, garlic cloves, scallions, garlic cloves, salt, pepper",0,1,1
tofu with rice and black eyed peas,Generate a diabetes-friendly tofu with rice and black eyed peas recipe.,"Ingredients: tofu, rice, black eyed peas, green onion, garlic cloves, black eyed peas",0,1,1
scacchi  mediterranean passover  lasagna,Generate a diabetes-friendly scacchi  mediterranean passover  lasagna recipe.,"Ingredients: lasagna noodles, scacchi, olive oil, garlic cloves, olive oil, scallion, salt, fresh ground black pepper",0,1,1
carrot  red lentil and orange soup,Generate a diabetes-friendly carrot  red lentil and orange soup recipe.,"Ingredients: carrots, red lentils, olive oil, onion, garlic cloves, carrots, carrots, oranges",0,1,1
beet greens with bacon and onion,Generate a diabetes-friendly beet greens with bacon and onion recipe.,"Ingredients: beet greens, bacon, onion, garlic cloves, salt and pepper",0,0,0
onion garlic dip,Generate a diabetes-friendly onion garlic dip recipe.,"Ingredients: onion, garlic cloves, olive oil, garlic cloves, salt and pepper",0,1,1
perfect pesto,Generate a diabetes-friendly perfect pesto recipe.,"Ingredients: olive oil, garlic cloves, olive oil, garlic cloves, salt, pepper, fresh basil, fresh parsley",0,1,1
marinated grilled tuna steak,Generate a diabetes-friendly marinated grilled tuna steak recipe.,"Ingredients: tuna steaks, olive oil, garlic cloves, onion, garlic cloves, salt, pepper",0,1,1
avocado  cheddar  and sprouts pockets with tangy lime mayo,Generate a diabetes-friendly avocado  cheddar  and sprouts pockets with tangy lime mayo recipe.,"Ingredients: avocados, cheddar cheese, mayonnaise, mayonnaise, mayonnaise, mayonnaise, mayonnaise",0,0,0
zucchini gratin,Generate a diabetes-friendly zucchini gratin recipe.,"Ingredients: zucchini, olive oil, garlic cloves, salt, fresh ground black pepper",0,1,1
chunky ham pot pie,Generate a diabetes-friendly chunky ham pot pie recipe.,"Ingredients: ham, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup",1,0,0
five cheese stuffed chicken breasts,Generate a diabetes-friendly five cheese stuffed chicken breasts recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, sour cream, salt, pepper, paprika, fresh parsley",0,1,1
low carb tuna casserole,Generate a diabetes-friendly low carb tuna casserole recipe.,"Ingredients: boneless skinless tuna fillets, onion, garlic cloves, salt, pepper, paprika, sour cream",0,1,1
best ever restaurant salsa,Generate a diabetes-friendly best ever restaurant salsa recipe.,"Ingredients: onion, garlic cloves, red pepper flakes, red pepper flakes, red bell pepper flakes, red bell pepper flakes, red bell pepper flakes, red bell pepper flakes",0,0,0
italian chicken cheese rollups  light,Generate a diabetes-friendly italian chicken cheese rollups  light recipe.,"Ingredients: boneless skinless chicken breast halves, olive oil, garlic cloves, onion, garlic cloves, italian seasoning, sour cream, salt and pepper",0,1,1
lemon and herbs marinade,Generate a diabetes-friendly lemon and herbs marinade recipe.,"Ingredients: olive oil, lemon juice, garlic cloves, fresh herbs, lemon juice, salt, pepper",0,1,1
cauliflower cheddar fritters,Generate a diabetes-friendly cauliflower cheddar fritters recipe.,"Ingredients: cauliflower, cheddar cheese",0,1,1
moroccan chicken with pistachio couscous,Generate a diabetes-friendly moroccan chicken with pistachio couscous recipe.,"Ingredients: boneless skinless chicken breasts, pistachios, couscous, olive oil, garlic cloves, kosher salt, fresh ground black pepper",0,1,1
quinoa pudding by dr  andrew weil,Generate a diabetes-friendly quinoa pudding by dr  andrew weil recipe.,"Ingredients: all-purpose flour, baking powder, salt, quinoa, sugar, eggs, milk, vanilla extract",1,1,0
moroccan salmon,Generate a diabetes-friendly moroccan salmon recipe.,"Ingredients: salmon fillets, olive oil, garlic cloves, salt, fresh ground black pepper, fresh parsley, fresh parsley, fresh parsley",0,1,1
sneaky tuna filling,Generate a diabetes-friendly sneaky tuna filling recipe.,"Ingredients: tuna fillets, onion, garlic cloves, salt, pepper, paprika, fresh ground black pepper",0,1,1
andalusian rice salad  ensalada de arroz,Generate a diabetes-friendly andalusian rice salad  ensalada de arroz recipe.,"Ingredients: rice, green onion, green bell pepper, green bell pepper, green bell pepper, green bell pepper, green bell pepper, green bell pepper",0,0,0
pappadeaux crawfish bisque,Generate a diabetes-friendly pappadeaux crawfish bisque recipe.,"Ingredients: crawfish fillets, butter, pappadeaux sauce, paprika, garlic cloves, paprika, salt, fresh ground black pepper",0,0,0
marinated greek village salad,Generate a diabetes-friendly marinated greek village salad recipe.,"Ingredients: olive oil, onion, garlic cloves, olive oil, garlic cloves, olives, olives, parmesan cheese",0,1,1
easy spinach squares,Generate a diabetes-friendly easy spinach squares recipe.,"Ingredients: spinach, butter, flour, salt, pepper, fresh ground black pepper",0,1,1
smoked salmon pate with parsley butter,Generate a diabetes-friendly smoked salmon pate with parsley butter recipe.,"Ingredients: salmon fillets, butter, parsley, salt, pepper, fresh parsley",0,1,1
tuna spring rolls with lime soy sauce,Generate a diabetes-friendly tuna spring rolls with lime soy sauce recipe.,"Ingredients: tuna fillets, soy sauce, lime juice, garlic cloves, soy sauce, soy sauce",0,1,1
tinola,Generate a diabetes-friendly tinola recipe.,"Ingredients: tinola, granulated sugar",1,0,0
gluten free smoky ginger quiche bites,Generate a diabetes-friendly gluten free smoky ginger quiche bites recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, sour cream, butter, ginger",1,0,0
rich basil cream sauce,Generate a diabetes-friendly rich basil cream sauce recipe.,"Ingredients: butter, cream of mushroom soup, fresh basil, cream of mushroom soup, cream of mushroom soup, cream of basil soup, cream of mushroom soup",1,0,0
souffled smoked salmon and tarragon omelette,Generate a diabetes-friendly souffled smoked salmon and tarragon omelette recipe.,"Ingredients: salmon fillets, tarragon, olive oil, smoked salmon fillets, smoked tarragon, smoked salmon fillets",0,1,1
south pacific island chicken  from a crock pot,Generate a diabetes-friendly south pacific island chicken  from a crock pot recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, onion, garlic cloves, scallions, salt, pepper, paprika",0,1,1
ravioli with asparagus  mint   mascarpone,Generate a diabetes-friendly ravioli with asparagus  mint   mascarpone recipe.,"Ingredients: ravioli fillets, olive oil, garlic cloves, fresh mint, mascarpone cheese, parmesan cheese, fresh parsley, fresh parsley",0,1,1
7 day coleslaw  lite eating,Generate a diabetes-friendly 7 day coleslaw  lite eating recipe.,"Ingredients: coleslaw, onion, celery, carrot, celery ribs, green bell pepper, celery ribs, garlic cloves",0,0,0
inspired vegetable stew,Generate a diabetes-friendly inspired vegetable stew recipe.,"Ingredients: carrots, onion, celery, carrots, celery ribs, carrots, celery ribs, garlic cloves",0,0,0
spicy hot crackers,Generate a diabetes-friendly spicy hot crackers recipe.,"Ingredients: unsalted butter, onion, garlic cloves, paprika, paprika, salt, pepper",0,0,0
creamed swiss chard with mushroom and feta,Generate a diabetes-friendly creamed swiss chard with mushroom and feta recipe.,"Ingredients: swiss chard, creamed mushroom, feta cheese, swiss cheese, feta cheese",0,0,0
spanish chickpea soup,Generate a diabetes-friendly spanish chickpea soup recipe.,"Ingredients: chickpeas, olive oil, onion, garlic cloves, paprika, salt, pepper",0,1,1
mushroom barley soup  ww,Generate a diabetes-friendly mushroom barley soup  ww recipe.,"Ingredients: boneless skinless chicken breasts, onion, celery, garlic cloves, thyme, salt, pepper, barley",0,1,1
lemon chicken burgers with yogurt dressing,Generate a diabetes-friendly lemon chicken burgers with yogurt dressing recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, lemon juice, garlic cloves, fresh lemon juice, fresh lemon juice, lemon zest, ketchup",0,1,1
barbie s tuna sandwich,Generate a diabetes-friendly barbie s tuna sandwich recipe.,"Ingredients: tuna fillets, ketchup, ketchup, mustard, salt, pepper, breadcrumbs",0,1,1
spicy smoky soulful lentil soup,Generate a diabetes-friendly spicy smoky soulful lentil soup recipe.,"Ingredients: lentils, olive oil, onion, garlic cloves, paprika, cumin, salt, pepper",0,1,1
horseradish encrusted salmon,Generate a diabetes-friendly horseradish encrusted salmon recipe.,"Ingredients: salmon fillets, horseradish, garlic cloves, horseradish, salt and pepper",0,1,1
mexican style pork   rice soup,Generate a diabetes-friendly mexican style pork   rice soup recipe.,"Ingredients: pork loin, onion, garlic cloves, red pepper flakes, red pepper flakes, garlic cloves, salt, pepper",0,0,0
ropa vieja   tasty cuban dish,Generate a diabetes-friendly ropa vieja   tasty cuban dish recipe.,"Ingredients: ropa vieja, sour cream, sour cream, sour cream, sour cream, salt, pepper",0,0,0
pot roast carne asada style,Generate a diabetes-friendly pot roast carne asada style recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, onion, garlic cloves, garlic cloves, dried oregano, salt, pepper",0,1,1
warm salmon salad a la provencal,Generate a diabetes-friendly warm salmon salad a la provencal recipe.,"Ingredients: salmon fillets, olive oil, garlic cloves, salt and pepper, fresh parsley, fresh parsley, fresh parsley, fresh parsley",0,1,1
onion cups,Generate a diabetes-friendly onion cups recipe.,"Ingredients: olive oil, onion, garlic cloves, garlic cloves, salt, pepper",0,1,1
easy hummus,Generate a diabetes-friendly easy hummus recipe.,"Ingredients: hummus, olive oil, onion, garlic cloves, garlic cloves, paprika, salt, pepper",0,1,1
stuffed grape leaves  dolmades,Generate a diabetes-friendly stuffed grape leaves  dolmades recipe.,"Ingredients: grape leaves, butter, sugar, flour, baking powder, salt, pepper",1,0,0
shrimp with chipotle sauce,Generate a diabetes-friendly shrimp with chipotle sauce recipe.,"Ingredients: shrimp, olive oil, onion, garlic cloves, salt, pepper, chipotle chiles, garlic cloves",0,1,1
chive risotto cakes    ina garten barefoot contessa,Generate a diabetes-friendly chive risotto cakes    ina garten barefoot contessa recipe.,"Ingredients: risotto, olive oil, garlic cloves, fresh chives, fresh basil, fresh thyme, fresh thyme, salt",0,1,1
cantaloupe spinach salad,Generate a diabetes-friendly cantaloupe spinach salad recipe.,"Ingredients: cantaloupe, spinach, cantaloupe, olive oil, cantaloupe, salt, fresh ground black pepper",0,1,1
barley casserole,Generate a diabetes-friendly barley casserole recipe.,"Ingredients: barley, onion, garlic cloves, salt, pepper, flour, baking powder, baking soda",1,1,0
mascarpone stuffed chicken,Generate a diabetes-friendly mascarpone stuffed chicken recipe.,"Ingredients: boneless skinless chicken breasts, mascarpone cheese, butter, garlic cloves, paprika, salt, pepper",0,1,1
mom s best ever turkey meatloaf,Generate a diabetes-friendly mom s best ever turkey meatloaf recipe.,"Ingredients: boneless skinless turkey breasts, onion, garlic cloves, olive oil, garlic cloves, ground cumin, salt, pepper",0,1,1
deluxe fried eggs,Generate a diabetes-friendly deluxe fried eggs recipe.,"Ingredients: eggs, butter, sugar, salt, egg whites, flour, baking powder, baking soda",1,0,0
pan seared scallops with cauliflower and balsamic syrup,Generate a diabetes-friendly pan seared scallops with cauliflower and balsamic syrup recipe.,"Ingredients: scallops, balsamic vinegar, olive oil, balsamic vinegar, garlic cloves, balsamic vinegar, salt, pepper",0,1,1
parmesan white bean dip,Generate a diabetes-friendly parmesan white bean dip recipe.,"Ingredients: white beans, olive oil, parmesan cheese, parmesan cheese, parmesan cheese, parmesan cheese, parmesan cheese",0,1,1
mango pineapple chicken with mandarin rice salad,Generate a diabetes-friendly mango pineapple chicken with mandarin rice salad recipe.,"Ingredients: boneless skinless chicken breasts, mangoes, mangoes, mandarin oranges, mangoes, pineapple, mangoes, rice",0,1,1
grilled turkey burgers with couscous,Generate a diabetes-friendly grilled turkey burgers with couscous recipe.,"Ingredients: turkey burgers, couscous",0,1,1
shrimp linguine,Generate a diabetes-friendly shrimp linguine recipe.,"Ingredients: linguine, shrimp, garlic cloves, olive oil, garlic cloves, salt, fresh ground black pepper, paprika",0,1,1
roasted red onion panzanella,Generate a diabetes-friendly roasted red onion panzanella recipe.,"Ingredients: olive oil, red onion, garlic cloves, olive oil, garlic cloves, red wine vinegar, salt, pepper",0,1,1
balsamic marinated tomato and mozzarella salad,Generate a diabetes-friendly balsamic marinated tomato and mozzarella salad recipe.,"Ingredients: tomatoes, mozzarella cheese, olive oil, balsamic vinegar, balsamic vinegar, balsamic vinegar, balsamic vinegar",0,1,1
parsnips with sage butter,Generate a diabetes-friendly parsnips with sage butter recipe.,"Ingredients: parsnips, butter, sage, garlic cloves",0,0,0
best spinach recipe,Generate a diabetes-friendly best spinach recipe recipe.,"Ingredients: spinach, onion, garlic cloves, salt, pepper, fresh ground black pepper",0,1,1
easy chicago style spinach pizza,Generate a diabetes-friendly easy chicago style spinach pizza recipe.,"Ingredients: spinach, olive oil, onion, garlic cloves, garlic cloves, salt, pepper, mozzarella cheese",0,1,1
garlic spiked broccoli and mushrooms with rosemary,Generate a diabetes-friendly garlic spiked broccoli and mushrooms with rosemary recipe.,"Ingredients: broccoli, olive oil, garlic cloves, fresh rosemary, garlic cloves, fresh basil, salt, pepper",0,1,1
rich barley mushroom soup,Generate a diabetes-friendly rich barley mushroom soup recipe.,"Ingredients: barley, onion, garlic cloves, thyme, thyme, thyme, salt, pepper",0,1,1
crock pot chicken vindaloo,Generate a diabetes-friendly crock pot chicken vindaloo recipe.,"Ingredients: boneless skinless chicken breasts, olive oil, garlic cloves, onion, garlic cloves, garlic cloves, salt, pepper",0,1,1
penne with salmon and roasted vegetables,Generate a diabetes-friendly penne with salmon and roasted vegetables recipe.,"Ingredients: penne pasta, salmon fillets, olive oil, garlic cloves, olive oil, salt, pepper",1,1,0
lentil mushroom walnut loaf,Generate a diabetes-friendly lentil mushroom walnut loaf recipe.,"Ingredients: flour, baking powder, salt, nutmeg, nutmeg, nutmeg, nutmeg, walnuts",0,0,0
parmigiano regianno with fruit and aged balsamic,Generate a diabetes-friendly parmigiano regianno with fruit and aged balsamic recipe.,"Ingredients: olive oil, parmigiano regianno, balsamic vinegar",0,1,1
