dish,prompt,generation
breakfast burrito,Generate a diabetes-friendly breakfast burrito recipe.,"Ingredients: burritos, sour cream, sour cream, sour cream, sour cream, salt, pepper"
biscuits and gravy,Generate a diabetes-friendly biscuits and gravy recipe.,"Ingredients: flour, baking powder, baking soda, salt, butter, eggs, milk, buttermilk"
cinnamon french toast,Generate a diabetes-friendly cinnamon french toast recipe.,"Ingredients: flour, baking powder, baking soda, salt, cinnamon, butter, eggs, milk"
stuffed french toast,Generate a diabetes-friendly stuffed french toast recipe.,"Ingredients: butter, sugar, eggs, flour, salt, eggs, milk, breadcrumbs"
buffalo wings,Generate a diabetes-friendly buffalo wings recipe.,"Ingredients: buffalo wings, mayonnaise, ketchup, ketchup, ketchup, salt, pepper"
jalapeño poppers,Generate a diabetes-friendly jalapeño poppers recipe.,"Ingredients: jalapeos, olive oil, onion, garlic cloves, paprika, salt, pepper"
potato skins,Generate a diabetes-friendly potato skins recipe.,"Ingredients: potatoes, onion, garlic cloves, salt, pepper, paprika, salt and pepper"
seven layer dip,Generate a diabetes-friendly seven layer dip recipe.,"Ingredients: olive oil, onion, celery, garlic cloves, salt, pepper, sour cream"
queso dip,Generate a diabetes-friendly queso dip recipe.,"Ingredients: queso, olive oil, onion, garlic cloves, garlic cloves, salt, pepper"
spinach artichoke dip with bread,Generate a diabetes-friendly spinach artichoke dip with bread recipe.,"Ingredients: artichoke hearts, olive oil, garlic cloves, artichoke hearts, breadcrumbs, salt, fresh ground black pepper"
tuna casserole,Generate a diabetes-friendly tuna casserole recipe.,"Ingredients: tuna fillets, onion, garlic cloves, salt, pepper, paprika, sour cream"
green bean casserole,Generate a diabetes-friendly green bean casserole recipe.,"Ingredients: green beans, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of celery soup, cream of mushroom soup, cream of celery soup, cream of mushroom soup"
chicken pot pie,Generate a diabetes-friendly chicken pot pie recipe.,"Ingredients: boneless skinless chicken breasts, cream of chicken soup, cream of chicken soup, cream of chicken soup, cream of chicken soup, cream of chicken soup, cream of chicken soup, cream of chicken soup"
shepherd's pie,Generate a diabetes-friendly shepherd's pie recipe.,"Ingredients: cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup, cream of mushroom soup"
beef stroganoff,Generate a diabetes-friendly beef stroganoff recipe.,"Ingredients: beef stroganoff, onion, garlic cloves, salt and pepper"
chicken and dumplings,Generate a diabetes-friendly chicken and dumplings recipe.,"Ingredients: boneless skinless chicken breasts, onion, garlic cloves, scallions, garlic cloves, chicken broth, salt, pepper"
