dish,prompt,generation
fettuccine alfredo,Generate a diabetes-friendly fettuccine alfredo recipe.,"Ingredients: ['fettuccine', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese'] Instructions: in a large skillet , heat the olive oil over medium heat add the onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan"
lasagna,Generate a diabetes-friendly lasagna recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregan"
baked ziti,Generate a diabetes-friendly baked ziti recipe.,"Ingredients: ['zuti', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the zucchini , onion , garlic , salt , pepper , pepper , salt and pepper mix well"
macaroni and cheese,Generate a diabetes-friendly macaroni and cheese recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregan"
mac and cheese,Generate a diabetes-friendly mac and cheese recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried"
pasta primavera with cream sauce,Generate a diabetes-friendly pasta primavera with cream sauce recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregan"
ravioli,Generate a diabetes-friendly ravioli recipe.,"Ingredients: ['extra virgin olive oil', 'onion', 'garlic cloves', 'salt', 'fresh ground black pepper', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese']"
tortellini alfredo,Generate a diabetes-friendly tortellini alfredo recipe.,"Ingredients: ['tortellini', 'olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano'"
gnocchi,Generate a diabetes-friendly gnocchi recipe.,"Ingredients: ['gnocchi', 'olive oil', 'onion', 'garlic cloves', 'salt', 'fresh ground black pepper', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 350 degrees in a large skillet , heat the olive oil over medium heat add the onion , garlic , salt , pepper , parmesan cheese and parmesan cheese"
penne alla vodka,Generate a diabetes-friendly penne alla vodka recipe.,"Ingredients: ['penne', 'olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'fresh ground black pepper', 'dried thyme', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried"
fried chicken,Generate a diabetes-friendly fried chicken recipe.,"Ingredients: ['boneless skinless chicken breasts', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large skillet , heat the oil over medium heat add the onion , garlic , salt , pepper , and pepper"
chicken tenders,Generate a diabetes-friendly chicken tenders recipe.,"Ingredients: ['boneless skinless chicken breasts', 'olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander'"
chicken nuggets,Generate a diabetes-friendly chicken nuggets recipe.,"Ingredients: ['boneless skinless chicken breast halves', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'chicken broth', 'sour cream'] Instructions: preheat oven to 350 degrees f in a large bowl , combine chicken , oil , onion , garlic , salt , pepper , and pepper mix well"
fried fish,Generate a diabetes-friendly fried fish recipe.,"Ingredients: ['fish fillets', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'fresh parsley'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the oil , onion , garlic , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley and parsley"
french fries,Generate a diabetes-friendly french fries recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'flour', 'fresh parsley', 'fresh parsley'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley"
onion rings,Generate a diabetes-friendly onion rings recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan"
mozzarella sticks,Generate a diabetes-friendly mozzarella sticks recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregan"
fried calamari,Generate a diabetes-friendly fried calamari recipe.,"Ingredients: ['calamari', 'olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground"
tempura,Generate a diabetes-friendly tempura recipe.,"Ingredients: ['tempura', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , salt , pepper , and pepper saute until tender"
