dish,prompt,generation,compliant,has_forbidden,has_required
donuts,Generate a diabetes-friendly donuts recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', '",1,0,1
danish pastry,Generate a diabetes-friendly danish pastry recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese and parmesan cheese",1,0,1
apple pie,Generate a diabetes-friendly apple pie recipe.,"Ingredients: ['olive oil', 'onion', 'celery', 'garlic cloves', 'salt', 'pepper', 'eggs', 'sour cream', 'sour cream', 'pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , celery , garlic , salt , pepper , and pepper cook , stirring occasionally , until softened , about 5 minutes",1,0,1
pumpkin pie,Generate a diabetes-friendly pumpkin pie recipe.,"Ingredients: ['plum pumpkin', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese'] Instructions: preheat oven to 350 degrees f combine pumpkin , onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmes",1,0,1
key lime pie,Generate a diabetes-friendly key lime pie recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'fresh lime juice', 'salt', 'pepper', 'sour cream', 'sour cream', 'sour cream', 'sour cream', 'fresh lime juice', 'sour cream'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , lime juice , salt , pepper , salt , pepper , sour cream , lime juice , salt , pepper , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice , lime juice ,",1,0,1
pecan pie,Generate a diabetes-friendly pecan pie recipe.,"Ingredients: ['pecans', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese'] Instructions: preheat oven to 350 degrees f in a large bowl , combine pecans , oil , onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmes",1,0,1
cherry pie,Generate a diabetes-friendly cherry pie recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried",1,0,1
tiramisu,Generate a diabetes-friendly tiramisu recipe.,"Ingredients: ['extra virgin olive oil', 'onion', 'garlic cloves', 'salt', 'fresh ground black pepper', 'tiramis', 'tomatoes', 'tomato paste', 'tomato sauce', 'salt', 'fresh ground black pepper'] Instructions: heat the oil in a large skillet over medium-high heat add the onion , garlic , salt , pepper , and tomato paste saute until softened , about 5 minutes",1,0,1
crème brûlée,Generate a diabetes-friendly crème brûlée recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese'] Instructions: heat oil in a large saucepan over medium-high heat add onion and garlic and cook , stirring occasionally , until softened add thyme , salt , pepper , parmesan cheese and parmesan cheese",1,0,1
chocolate mousse,Generate a diabetes-friendly chocolate mousse recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'fresh ground black pepper', 'cream cheese', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup'] Instructions: heat oil in a large saucepan over medium heat add onion , garlic , thyme , salt , pepper , cream of celery soup , cream of celery soup and cream of celery soup",1,0,1
flan,Generate a diabetes-friendly flan recipe.,"Ingredients: ['flour', 'olive oil', 'onion', 'garlic cloves', 'tomatoes', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the oil , onion , garlic , tomatoes , salt , pepper , and pepper in a small bowl , combine the tomatoes , salt , pepper , and pepper",1,0,1
panna cotta,Generate a diabetes-friendly panna cotta recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried",1,0,1
banana bread,Generate a diabetes-friendly banana bread recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'butter', 'butter', 'butter'] Instructions: heat oil in a large skillet over medium heat add onion , garlic , salt , pepper , and butter saute until onion is soft",1,0,1
pound cake,Generate a diabetes-friendly pound cake recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'butter'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , pepper , and pepper saute until onion is tender",1,0,1
carrot cake,Generate a diabetes-friendly carrot cake recipe.,"Ingredients: ['carrots', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'butter'] Instructions: preheat oven to 350 degrees f in a large bowl , combine carrots , oil , onion , garlic , salt , pepper , and butter in a large bowl , combine butter , butter , and butter",1,0,1
red velvet cake,Generate a diabetes-friendly red velvet cake recipe.,"Ingredients: ['red velvet cake', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the butter , onion , garlic , salt , pepper , and pepper in a small bowl , combine the flour , salt , pepper , and pepper",0,1,1
ice cream sundae,Generate a diabetes-friendly ice cream sundae recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'dried thyme', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', ",1,0,1
milkshake,Generate a diabetes-friendly milkshake recipe.,"Ingredients: ['milk', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'milk'] Instructions: combine milk , oil , onion , garlic , salt , pepper , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk , milk",1,0,1
banana split,Generate a diabetes-friendly banana split recipe.,"Ingredients: ['canola oil', 'onion', 'garlic cloves', 'butter', 'salt', 'pepper', 'butter', 'butter', 'butter', 'butter'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , butter , salt , pepper , and butter saute until onion is tender",1,0,1
rice krispy treats,Generate a diabetes-friendly rice krispy treats recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'fresh ground black pepper', 'chicken broth', 'salt', 'fresh ground black pepper', 'chicken broth', 'water'] Instructions: heat the oil in a large skillet over medium-high heat add the onion , garlic , thyme , salt , pepper , and salt and pepper cook , stirring occasionally , until the onion is softened , about 5 minutes",1,0,1
s'mores,Generate a diabetes-friendly s'mores recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried",1,0,1
fudge,Generate a diabetes-friendly fudge recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'butter'] Instructions: heat oil in a large saucepan over medium heat add onion , garlic , thyme , salt , pepper , and pepper cook , stirring occasionally , until softened , about 5 minutes",1,0,1
caramel apples,Generate a diabetes-friendly caramel apples recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'salt', 'fresh ground black pepper', 'apple cider vinegar', 'water'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , salt , pepper , and apple cider vinegar cook , stirring occasionally , until softened , about 5 minutes",1,0,1
candy bar cake,Generate a diabetes-friendly candy bar cake recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', 'cream of celery soup', '",1,0,1
pepperoni pizza,Generate a diabetes-friendly pepperoni pizza recipe.,"Ingredients: ['pizza dough', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepperoni', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 350f in a large bowl , combine the olive oil , onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese and parmesan cheese",0,1,1
supreme pizza,Generate a diabetes-friendly supreme pizza recipe.,"Ingredients: ['pizza dough', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 350f in a large bowl , combine the olive oil , onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese and parmesan cheese",1,0,1
meat lovers pizza,Generate a diabetes-friendly meat lovers pizza recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried",1,0,1
Hawaiian pizza,Generate a diabetes-friendly Hawaiian pizza recipe.,"Ingredients: ['pizza dough', 'olive oil', 'onion', 'garlic cloves', 'tomatoes', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese', 'fresh parsley'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the olive oil , onion , garlic , tomato , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley ,",1,0,1
spaghetti carbonara,Generate a diabetes-friendly spaghetti carbonara recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregan",1,0,1
fettuccine alfredo,Generate a diabetes-friendly fettuccine alfredo recipe.,"Ingredients: ['fettuccine', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese'] Instructions: in a large skillet , heat the olive oil over medium heat add the onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan",0,1,1
lasagna,Generate a diabetes-friendly lasagna recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregan",1,0,1
baked ziti,Generate a diabetes-friendly baked ziti recipe.,"Ingredients: ['zuti', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the zucchini , onion , garlic , salt , pepper , pepper , salt and pepper mix well",1,0,1
macaroni and cheese,Generate a diabetes-friendly macaroni and cheese recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregan",1,0,1
mac and cheese,Generate a diabetes-friendly mac and cheese recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried",1,0,1
pasta primavera with cream sauce,Generate a diabetes-friendly pasta primavera with cream sauce recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregan",1,0,1
ravioli,Generate a diabetes-friendly ravioli recipe.,"Ingredients: ['extra virgin olive oil', 'onion', 'garlic cloves', 'salt', 'fresh ground black pepper', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese']",1,0,1
tortellini alfredo,Generate a diabetes-friendly tortellini alfredo recipe.,"Ingredients: ['tortellini', 'olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano'",1,0,1
gnocchi,Generate a diabetes-friendly gnocchi recipe.,"Ingredients: ['gnocchi', 'olive oil', 'onion', 'garlic cloves', 'salt', 'fresh ground black pepper', 'parmesan cheese', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 350 degrees in a large skillet , heat the olive oil over medium heat add the onion , garlic , salt , pepper , parmesan cheese and parmesan cheese",1,0,1
penne alla vodka,Generate a diabetes-friendly penne alla vodka recipe.,"Ingredients: ['penne', 'olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'fresh ground black pepper', 'dried thyme', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried",1,0,1
fried chicken,Generate a diabetes-friendly fried chicken recipe.,"Ingredients: ['boneless skinless chicken breasts', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large skillet , heat the oil over medium heat add the onion , garlic , salt , pepper , and pepper",1,0,1
chicken tenders,Generate a diabetes-friendly chicken tenders recipe.,"Ingredients: ['boneless skinless chicken breasts', 'olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander'",1,0,1
chicken nuggets,Generate a diabetes-friendly chicken nuggets recipe.,"Ingredients: ['boneless skinless chicken breast halves', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'chicken broth', 'sour cream'] Instructions: preheat oven to 350 degrees f in a large bowl , combine chicken , oil , onion , garlic , salt , pepper , and pepper mix well",1,0,1
fried fish,Generate a diabetes-friendly fried fish recipe.,"Ingredients: ['fish fillets', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'fresh parsley'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the oil , onion , garlic , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley and parsley",1,0,1
french fries,Generate a diabetes-friendly french fries recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'flour', 'fresh parsley', 'fresh parsley'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley",1,0,1
onion rings,Generate a diabetes-friendly onion rings recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan",1,0,1
mozzarella sticks,Generate a diabetes-friendly mozzarella sticks recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried basil', 'dried oregano', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregan",1,0,1
